순번,회사명,대표자명,지식산업센터명,공장대표주소,전화번호,팩스번호,최초설립승인일,설립승인일,최초공장등록일,공장등록일,공장용지면적(제곱미터),제조시설면적(제곱미터),부대시설면적(제곱미터),업종번호,업종명,용도지역
5070,대일케미칼,박○○,해당없음,미등록,051-972-4418,051-972-4419,2018-10-22,2018-10-22,미등록,미등록,0,41.59,8.23,미등록,미등록,도시지역/상업지역/일반상업지역
5071,대일테크   ,김○○○○,해당없음,부산광역시 기장군 장안읍 반룡산단2로 50,051-532-9019,051-532-9020,2018-09-10,미등록,2020-08-06,2020-08-06,1488.8,897.84,176.4,30399,그 외 자동차용 신품 부품 제조업,도시지역/공업지역/일반공업지역
5072,대일화학공업사,이○○,해당없음,부산광역시 사하구 두송로 61 (장림동),051-263-5544,051-262-5504,1991-11-16,1991-11-16,1996-09-17,2015-04-22,341,194.57,298.48,"13992, 13999, 20422, 20495, 20499, 21301",부직포 및 펠트 제조업 외 5종,도시지역/공업지역/준공업지역
5073,대저농업협동조합,최○○,해당없음,부산광역시 강서구 공항로533번길 337 (대저2동),051-972-4157,미등록,미등록,미등록,2011-10-26,2011-10-26,631,470.22,0,"20312, 20313",복합비료 및 기타 화학비료 제조업 외 1종,도시지역/주거지역/제1종일반주거지역
5074,대저정미소,김○○,해당없음,부산광역시 강서구 봉림길203번길 213 (봉림동),051-971-3650,51,미등록,미등록,2001-01-15,2001-01-15,8774,1488,0,10511,곡물 도정업,도시지역
5075,대저주방,윤○○,해당없음,부산광역시 강서구 금호순서길 69-10 (대저2동),051-941-5611,051-941-5613,미등록,미등록,2010-10-25,2010-11-10,871,492,0,"29250, 16291, 25913, 25914",음ㆍ식료품 및 담배 가공기계 제조업 외 3종,도시지역/주거지역/제1종일반주거지역
5076,대전공조,김○○,해당없음,부산광역시 강서구 맥도강변길 190 (대저2동),051-941-2615,051-941-2616,미등록,미등록,2012-11-27,2012-11-27,450,253.5,0,29177,"증류기, 열교환기 및 가스발생기 제조업",도시지역/주거지역/제1종일반주거지역
5077,대정고무공업사,안○○,해당없음,부산광역시 강서구 낙동북로102번가길 29 (강동동),051-972-1445,051-972-3370,미등록,미등록,2019-05-24,2019-05-24,449.4,244.86,19.14,22191,고무패킹류 제조업,도시지역/주거지역/제1종일반주거지역
5078,대정라벨,백○○,해당없음,부산광역시 강서구 제도로 1187-7 (강동동),051-897-0851,051-896-0851,미등록,미등록,2016-11-01,2016-11-01,375,214.2,34.83,13991,세폭직물 제조업,도시지역/주거지역/제1종일반주거지역
5079,대정산업,방○○,해당없음,부산광역시 강서구 녹산산단408로 8 (송정동),051-832-1348,미등록,2002-06-27,2002-06-27,2003-05-07,2003-05-07,990.3,757,241.73,13104,연사 및 가공사 제조업,도시지역/공업지역/일반공업지역
5080,대정테크,최○○,해당없음,부산광역시 사하구 하신중앙로 44-9 (장림동),051-264-7770,051-262-7956,미등록,미등록,2012-10-31,2012-10-31,406,266.98,0,25924,절삭가공 및 유사처리업,도시지역/공업지역/준공업지역
5081,대종,김○○,해당없음,부산광역시 사상구 낙동대로882번길 39 (감전동),051-315-1858,051-323-0829,2013-06-14,2013-06-14,2013-06-21,2013-06-21,3597,1587,3894,"15211, 15219, 15220",구두류 제조업 외 2종,도시지역/공업지역/전용공업지역
5082,대중특수강(주),최○○,해당없음,부산광역시 강서구 녹산산단261로73번길 37 (송정동),051-831-1133,051-831-1987,2020-04-03,2024-05-27,2020-04-09,2026-05-19,9129,3827.28,2.21,"24199, 35114",그 외 기타 1차 철강 제조업 외 1종,도시지역/공업지역/일반공업지역
5083,대지산업,장○○,해당없음,부산광역시 사상구 사상로385번길 26 (덕포동),051-312-8673,051-313-8673,미등록,미등록,2026-05-18,2026-05-18,451.1,294.99,187.17,29120,유압기기 제조업,도시지역/공업지역/준공업지역
5084,대지산업,조○○,해당없음,부산광역시 사상구 감전천로 182(학장동),051-327-8724,051-328-8734,2023-11-24,2023-11-24,2023-11-24,2023-11-24,0,181.3,111.38,25999,그 외 기타 분류 안된 금속 가공 제품 제조업,도시지역/공업지역/준공업지역
5085,대지산업기계,김○○,해당없음,"부산광역시 사상구 모라로6번길 13-16 (삼락동, 대진산업기계)",051-303-0435,051-303-0436,미등록,미등록,2004-03-29,2004-03-29,512.4,353.31,32.97,"29199, 29177",그 외 기타 일반목적용 기계 제조업 외 1종,도시지역/공업지역/준공업지역
5086,대진공업,김○○,해당없음,부산광역시 강서구 가리새1로17번길 25 (생곡동),051-831-4536,미등록,2011-11-03,2011-11-03,2016-11-09,2016-11-09,1669,1353.67,315.42,29142,기어 및 동력전달장치 제조업,도시지역/공업지역/일반공업지역
5087,대진공업사,박○○,해당없음,부산광역시 연제구 온천천남로4번길 3 (연산동),051-852-8266,051-863-3224,미등록,미등록,2002-08-14,2002-08-14,192.87,180,12.87,25112,구조용 금속 판제품 및 공작물 제조업,도시지역/주거지역
5088,대진공영,전○○,해당없음,부산광역시 기장군 장안읍 장안산단로 190-13,미등록,미등록,2015-05-15,미등록,2015-08-07,2015-08-07,3359,364,105.2,25119,기타 구조용 금속제품 제조업,도시지역/녹지지역/자연녹지지역
5089,대진금속,육○○,해당없음,"부산광역시 사상구 낙동대로1446번길 48 (삼락동, 대창철강) (총 2 필지)",051-303-9686,051-303-9698,미등록,미등록,2006-04-18,2006-04-18,576.6,305.66,305.66,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3종,도시지역/공업지역/준공업지역
5090,대진기계,최○○,해당없음,부산광역시 강서구 녹산산단381로 39(송정동),미등록,미등록,2022-09-15,2022-09-15,2022-09-16,2022-09-16,0,126,0,29176,액체 여과기 제조업,도시지역/공업지역/일반공업지역
5091,대진기계(주),이○○,해당없음,"부산광역시 사상구 낙동대로 1238 (삼락동, 대진기계(주))",051-302-5300,051-302-5309,미등록,미등록,2014-02-18,2014-02-18,171.8,102.12,102.12,29223,금속 절삭기계 제조업,도시지역/주거지역/제2종일반주거지역
5092,대진기계사,김○○,해당없음,부산광역시 사하구 신산로 180(신평동),051-266-1504,051-266-1501,2022-10-24,2023-03-13,2022-10-24,2023-03-13,238.95,238.95,0,"34019, 31111, 31114",기타 일반 기계 및 장비 수리업 외 2종,도시지역/공업지역/준공업지역
5093,대진기공,신○○,해당없음,부산광역시 사하구 하신중앙로27번길 11 (장림동),051-262-0985,051-266-3777,미등록,미등록,2007-06-21,2007-06-21,986,493.02,153.95,"29222, 22299, 29224",디지털 적층 성형기계 제조업 외 2종,도시지역/공업지역/준공업지역
5094,대진기업,우○○,해당없음,부산광역시 사상구 대동로239번길 51 (학장동),051-317-2395,051-317-2393,2008-03-12,미등록,2008-03-12,2008-03-12,613.8,461.1,465.49,28123,배전반 및 전기 자동제어반 제조업,도시지역/공업지역/전용공업지역
5095,대진단조(주),이○○,해당없음,부산광역시 강서구 미음산단로 425 (미음동),051-303-0633,051-303-0635,2016-04-28,2016-04-28,2016-04-28,2016-06-24,17597.4,13351.99,1376.4,25912,금속 단조제품 제조업,도시지역/공업지역/일반공업지역
5096,대진문화사,김○○,해당없음,"부산광역시 금정구 오륜대로 45, 진주타워 101호 (부곡동)",051-518-9480,051-518-9481,미등록,미등록,2019-11-18,2019-11-18,223,37.5,16.3,18111,경 인쇄업,도시지역/주거지역/제2종일반주거지역
5097,대진산업,진○○,해당없음,부산광역시 사상구 새벽로121번길 21 (감전동),051-313-4521,051-313-4522,미등록,미등록,2024-04-12,2024-04-12,0,130,35.3,25200,무기 및 총포탄 제조업,도시지역/공업지역/준공업지역
5098,대진산업,강○○,해당없음,부산광역시 강서구 대저중앙로347번길 44 (대저1동),051-971-1900,051-971-1905,미등록,미등록,2014-06-05,2014-06-05,351,205,12.15,29293,주형 및 금형 제조업,도시지역/주거지역/제1종일반주거지역
5099,대진산업,안○○,해당없음,부산광역시 영도구 남항남로 19 (남항동3가),051-416-5544,051-416-5590,미등록,미등록,2017-01-31,2017-01-31,49.45,40.45,9,31114,선박 구성 부분품 제조업,도시지역/공업지역/준공업지역
5100,대진산업사,배○○,해당없음,부산광역시 강서구 녹산산업중로167번길 24-1 (송정동),051-831-2509,051-831-2510,2000-04-10,미등록,2000-12-20,2006-04-03,1575.46,610.38,226.58,29293,주형 및 금형 제조업,도시지역/공업지역/일반공업지역
5101,대진엔지니어링   ,조○○○○○,해당없음,부산광역시 기장군 정관읍 산단4로 54,051-973-7211,051-973-7211,2018-05-16,미등록,2018-06-04,2020-10-28,0,759.85,0,"25921, 25113, 25929, 28511",금속 열처리업 외 3종,도시지역/공업지역/일반공업지역
5102,대진연사,이○○,해당없음,부산광역시 기장군 기장읍 차성로397번길 6 (대진연사),051-722-4608,051-722-4608,1996-03-26,1996-03-26,1996-03-26,1996-03-26,444.2,198.4,0,13104,연사 및 가공사 제조업,도시지역/주거지역
5103,대진전자통신(주),설○○,해당없음,부산광역시 부산진구 전포대로256번길 20-4 (전포동),051-807-5859,051-803-5859,미등록,미등록,2007-06-15,2018-11-08,133.63,70.42,63.21,"26410, 26299, 26329, 26421, 26429, 26519, 26521, 26529, 27212, 27214, 27215, 28123, 28423",유선 통신장비 제조업 외 12종,도시지역/상업지역/일반상업지역
5104,대진정공,이○○,해당없음,부산광역시 강서구 신호산단1로 220-9 (신호동),미등록,051-325-4757,2015-09-16,미등록,2015-09-16,2015-09-16,0,793.39,0,25924,절삭가공 및 유사처리업,도시지역/공업지역/일반공업지역
5105,대진정공,원○○,해당없음,"부산광역시 사상구 낙동대로1452번길 54 (삼락동, 진흥정밀)",051-301-4421,051-301-4433,1998-01-01,미등록,1991-05-20,2017-09-28,710.46,284.29,39,"25999, 25995",그 외 기타 분류 안된 금속 가공 제품 제조업 외 1종,도시지역/공업지역/준공업지역
5106,대진정기(주),김○○○○○○○,해당없음,부산광역시 사상구 사상로368번길 28 (덕포동),051-303-7420,051-303-1903,2008-07-21,2008-07-21,1999-05-26,2008-07-23,1275.5,696,536,"29133, 25200, 30320, 30331, 30391, 30392, 30399, 30400, 31910","탭, 밸브 및 유사장치 제조업 외 8종",도시지역/공업지역/준공업지역
5107,대진정기(주),김○○○○○○○,해당없음,"부산광역시 사상구 사상로368번길 25 (덕포동, 대진정기)",051-303-7420,051-303-1903,2007-03-28,2007-10-09,2007-10-12,2007-10-12,775,537.95,537.95,29133,"탭, 밸브 및 유사장치 제조업",도시지역/공업지역/준공업지역
5108,대진정밀공업사,김○○,해당없음,부산광역시 사상구 사상로440번길 8 (모라동),051-326-0637,051-313-0638,미등록,미등록,2007-12-12,2007-12-12,350,421,40,31114,선박 구성 부분품 제조업,도시지역/공업지역/준공업지역
5109,대진정밀금형사,김○○,해당없음,부산광역시 사상구 모덕로67번길 135 (모라동),051-301-1421,051-303-0174,미등록,미등록,2013-05-20,2025-02-04,663,462,0,"29293, 25200, 25929, 25941, 29111, 29142, 30310, 30331, 30391, 30392, 30399, 31114, 31311, 31312, 31910",주형 및 금형 제조업 외 14종,도시지역/공업지역/준공업지역
5110,대진철강,정○○,해당없음,부산광역시 강서구 공항로361번가길 69 (대저2동),미등록,051-972-4667,미등록,미등록,2012-07-05,2012-07-05,466,243.12,0,"25113, 25114",육상 금속 골조 구조재 제조업 외 1종,도시지역/주거지역/제1종일반주거지역
5111,대진테크,박○○,해당없음,부산광역시 강서구 평강로193번길 21-12 (대저1동),051-305-6177,051-305-6178,미등록,미등록,2018-05-08,2018-05-08,165.75,82.88,0,"25200, 25999, 29142, 31311, 31312, 31910",무기 및 총포탄 제조업 외 5종,도시지역/주거지역/제1종일반주거지역
5112,대진해양,이○○,해당없음,부산광역시 기장군 정관면 산단7로 7-65,051-752-4556,051-752-4515,2014-04-01,2014-04-01,2014-04-02,2014-04-02,0,237.415,0,"33999, 31991",그 외 기타 달리 분류되지 않은 제품 제조업 외 1종,도시지역/공업지역/일반공업지역
5113,대창강건(주),강○○○○○○○,해당없음,부산광역시 강서구 녹산산단290로 37 (송정동),051-831-0708,051-831-0710,2017-06-30,미등록,2017-07-12,2026-06-25,9918.4,5746.78,808.6,"25113, 24199",육상 금속 골조 구조재 제조업 외 1종,도시지역/공업지역/일반공업지역
5114,대창금망,김○○,해당없음,부산광역시 부산진구 범전로33번길 16 (범전동),051-805-4599,051-816-1271,1998-01-01,미등록,1998-08-29,2017-08-04,312,312,0,"25944, 31114",금속선 가공제품 제조업 외 1종,도시지역/상업지역/일반상업지역
5115,대창금망   ,김○○○○,해당없음,부산광역시 기장군 장안읍 에코산단2로 66,051-805-4599,미등록,2020-05-29,2020-05-29,2024-07-25,2024-07-25,1648.7,917.22,180.72,31114,선박 구성 부분품 제조업,도시지역/공업지역/일반공업지역
5116,대창기계공업사,박○○,해당없음,부산광역시 사하구 다산로 153 (다대동),051-264-1712,051-264-1688,2004-11-30,미등록,2004-11-30,2004-11-30,1658.5,928.76,261,"31114, 25113, 25114",선박 구성 부분품 제조업 외 2종,도시지역/공업지역/일반공업지역
5117,대창엔지니어링,문○○,해당없음,부산광역시 사하구 다산로105번길 20 (다대동),미등록,미등록,2018-11-01,미등록,2020-05-22,2020-05-22,0,244,8,29119,기타 기관 및 터빈 제조업,도시지역/공업지역/일반공업지역
5118,대창정공,김○○,해당없음,"부산광역시 사상구 낙동대로1446번길 46 (삼락동, 대창2공장)",051-319-3510,051-319-3501,미등록,미등록,2005-11-24,2005-11-24,246,246,0,"31114, 31322",선박 구성 부분품 제조업 외 1종,도시지역/공업지역/준공업지역
5119,대창정밀,이○○,해당없음,"부산광역시 부산진구 신암로 111, 1층일부 (범천동)",051-643-1589,미등록,미등록,미등록,2014-04-11,2014-04-11,0,34,5.67,25931,날붙이 제조업,도시지역/상업지역/일반상업지역
5120,대창철강,김○○,해당없음,부산광역시 사상구 낙동대로 873(감전동),051-315-6593,미등록,2022-05-24,2022-05-24,2022-05-24,2022-05-24,2377.8,1655,0,25929,그 외 기타 금속가공업,도시지역/공업지역/일반공업지역
5121,대창철강,우○○,해당없음,"부산광역시 사상구 새벽로 83 (학장동, 대창철강)",051-311-1364,051-325-4626,2002-08-13,미등록,2002-08-13,2004-06-01,603.1,292.6,158.9,31114,선박 구성 부분품 제조업,도시지역/공업지역/전용공업지역
5122,대창테크(주),고○○,해당없음,부산광역시 강서구 과학산단로 491 (지사동),051-916-1000,051-918-1001,2013-10-21,미등록,2014-04-30,2024-03-07,2847,2584.82,847.29,27214,속도계 및 적산계기 제조업,도시지역/공업지역/일반공업지역
5123,대창하이텍,권○○,해당없음,부산광역시 강서구 맥도강변길 862-7 (대저2동),051-971-3933,051-971-3733,미등록,미등록,2010-07-16,2010-07-16,603,360,0,"22241, 22249",운송장비 조립용 플라스틱제품 제조업 외 1종,도시지역/주거지역/제1종일반주거지역
5124,대창하이텍,권○○,해당없음,부산광역시 강서구 맥도강변길 862-9 (대저2동),051-971-3933,051-971-3733,미등록,미등록,2010-07-16,2010-07-16,520,311,0,"22241, 22249",운송장비 조립용 플라스틱제품 제조업 외 1종,도시지역/주거지역/제1종일반주거지역
5125,대통화학공업사,박○○,해당없음,부산광역시 사하구 장평로190번길 11 (장림동),051-261-5801,051-264-3110,1998-01-01,1998-01-01,1991-06-13,2013-12-09,413,102.14,96.37,"22231, 22212, 22213","플라스틱 포대, 봉투 및 유사제품 제조업 외 2종",도시지역/공업지역/준공업지역
5126,대평조기 엔지니어링,조○○○○○○○,해당없음,부산광역시 영도구 남항서로92번길 23 (남항동2가),051-418-0505,051-413-3363,미등록,미등록,2012-02-15,2012-02-15,509,354.36,42.98,31114,선박 구성 부분품 제조업,도시지역/공업지역/준공업지역
5127,대풍무역,김○○,해당없음,부산광역시 강서구 녹산산업중로 51-12 (송정동),051-728-3138,051-945-9876,2014-02-12,2014-02-12,2014-02-18,2014-02-18,0,150,0,"22241, 22249",운송장비 조립용 플라스틱제품 제조업 외 1종,도시지역/공업지역/일반공업지역
5128,대하정밀공업사,강○○,해당없음,부산광역시 사상구 모덕로102번길 8 (덕포동),051-301-5346,051-304-3930,미등록,미등록,2005-05-17,2005-05-17,378,200,40,29229,기타 가공 공작기계 제조업,도시지역/공업지역/준공업지역
5129,대한E.N.G,박○○,해당없음,부산광역시 강서구 낙동북로102번가길 28 (강동동),051-302-2298,051-302-2292,미등록,미등록,2016-02-26,2016-02-26,379,199.5,23.1,25929,그 외 기타 금속가공업,도시지역/주거지역/제1종일반주거지역
5130,대한ENG,명○○,해당없음,부산광역시 영도구 대평로 57 (대평동2가),051-465-6003,051-416-0527,미등록,미등록,2023-08-21,2023-08-21,150,89.64,89.64,31114,선박 구성 부분품 제조업,도시지역/공업지역/준공업지역
5131,대한개발공사(주),김○○○,해당없음,부산광역시 강서구 공항로339번길 137-5 (대저2동),051-831-8840,051-831-8841,미등록,미등록,2020-01-28,2020-03-31,1224,492.08,75.99,"25111, 13224, 16102, 16211, 16229, 18111, 22223, 22299, 23993, 25112, 25113, 25119, 25994, 25999, 28903, 29175, 32029, 32091, 33301, 33910","금속 문, 창, 셔터 및 관련제품 제조업 외 19종",도시지역/주거지역/제1종일반주거지역
5132,대한개발공사(주),전○○,해당없음,부산광역시 강서구 공작길 8-22 (강동동),051-852-3225,051-831-8841,미등록,미등록,2025-12-19,2026-05-12,175,175,0,"25111, 25112, 25113, 25119, 25999","금속 문, 창, 셔터 및 관련제품 제조업 외 4종",도시지역/주거지역/제1종일반주거지역
5133,대한공업사,박○○,해당없음,부산광역시 강서구 녹산산단289로 69 (송정동),051-831-2935,051-831-6690,2000-04-11,2000-04-11,2002-06-07,2004-10-13,2165.4,1700.54,90.1,"25913, 25914",자동차용 금속 압형제품 제조업 외 1종,도시지역/공업지역/일반공업지역
5134,대한공영   ,이○○○○○,해당없음,부산광역시 기장군 정관읍 농공길 94,051-727-5365,051-727-5371,2019-10-31,2019-10-31,2021-05-17,2021-05-17,1787,1086.25,141.36,25111,"금속 문, 창, 셔터 및 관련제품 제조업",도시지역/공업지역/일반공업지역
5135,"대한교구,대한OA",전○○,해당없음,부산광역시 강서구 대저로 140-1 (대저1동),051-971-0031,051-973-0160,2000-01-26,2000-01-26,2000-01-26,2009-04-23,2747,1039,0,32029,기타 목재가구 제조업,도시지역
5136,대한글로벌개발주식회사,최○○,해당없음,부산광역시 강서구 대저중앙로357번길 26 (대저1동),051-941-2931,051-941-2932,미등록,미등록,2024-11-06,2024-11-06,493.42,420.42,0,"25112, 25113, 25119",구조용 금속 판제품 및 공작물 제조업 외 2종,도시지역/주거지역/제1종일반주거지역
5137,대한금속,남○○,해당없음,"부산광역시 사상구 낙동대로1356번길 36 (삼락동, 대한금속)",051-301-8445,051-301-8447,1998-01-01,1998-01-01,1999-03-24,1999-03-24,250,99.9,0,25921,금속 열처리업,도시지역/공업지역/준공업지역
5138,대한기계금속,강○○,해당없음,부산광역시 강서구 녹산산단382로49번길 46 (송정동),051-972-0562,051-972-0563,2025-11-26,2025-11-26,2025-12-08,2025-12-08,0,758,100,25924,절삭가공 및 유사처리업,도시지역/공업지역/일반공업지역
5139,대한기술개발(주),신○○,해당없음,부산광역시 사상구 모덕로96번길 87 (덕포동),051-831-8840,051-831-8841,미등록,미등록,2017-04-04,2017-04-04,140.4,115.6,24.7,"16211, 13224, 13229, 22223, 22299, 25111, 25112, 25995, 25999, 29180, 32029, 32091, 33920","박판, 합판 및 유사 적층판 제조업 외 12종",도시지역/공업지역/준공업지역
5140,대한기술개발(주),신○○,해당없음,부산광역시 강서구 공작길 8-22 (강동동),051-831-8840,051-831-8841,미등록,미등록,2025-11-10,2025-12-16,591,262.25,0,"25111, 25112, 25113, 25119, 25999","금속 문, 창, 셔터 및 관련제품 제조업 외 4종",도시지역/주거지역/제1종일반주거지역
5141,대한기전,사○○○,해당없음,부산광역시 강서구 낙동북로43번길 38-7 (강동동),051-317-0475,051-317-0476,미등록,미등록,2013-09-30,2016-01-14,451,264,81.4,28123,배전반 및 전기 자동제어반 제조업,도시지역/주거지역/제1종일반주거지역
5142,대한네트웍스(주),한○○,해당없음,부산광역시 강서구 녹산산업북로 326 (송정동),051-442-1108,미등록,2017-08-31,미등록,2017-09-14,2023-04-13,6596.2,4611.63,288,24199,그 외 기타 1차 철강 제조업,도시지역/공업지역/일반공업지역
5143,대한명판,황○○,해당없음,부산광역시 사상구 학장로317번길 6 (주례동),051-328-7757,051-328-7758,2010-08-05,미등록,2017-03-30,2017-03-30,524.6,647.67,150.75,"18119, 18112, 18113",기타 인쇄업 외 2종,도시지역/공업지역/전용공업지역
5144,대한산업,윤○○,해당없음,부산광역시 강서구 녹산산단290로 27-10 (송정동),051-831-9071,051-831-9074,1995-11-23,1995-11-23,2003-01-25,2025-02-26,1649.6,504,0,"20129, 22191, 22192",기타 기초 무기 화학물질 제조업 외 2종,도시지역/공업지역/일반공업지역
5145,대한산업,윤○○,해당없음,"부산광역시 사상구 새벽로77번길 50 (학장동, 파워텍(주))",051-317-6686,051-317-6687,미등록,미등록,2011-08-31,2011-08-31,322.3,180,40,31114,선박 구성 부분품 제조업,도시지역/공업지역/준공업지역
5146,대한산업(주)부산공장,하○○○○○○○,해당없음,"부산광역시 사상구 학장로135번길 15 (학장동, 대한산업)",051-323-8811,051-323-8817,1998-01-01,미등록,1993-08-27,2017-04-03,2854.9,1753.17,459.52,"22191, 22192",고무패킹류 제조업 외 1종,도시지역/공업지역/전용공업지역
5147,대한산업기계제작소,이○○,해당없음,부산광역시 사하구 다산로175번길 29 (다대동),051-262-6862,미등록,1998-01-01,1998-01-01,1995-10-16,1995-10-16,1306.1,343.07,68,"25999, 25995",그 외 기타 분류 안된 금속 가공 제품 제조업 외 1종,도시지역/공업지역/일반공업지역
5148,대한상사,김○○,해당없음,부산광역시 강서구 대부길 80-20 (강동동),051-941-4221,미등록,미등록,미등록,2012-02-16,2012-02-16,350,198,0,29261,"산업용 섬유 세척, 염색, 정리 및 가공 기계 제조업",도시지역/주거지역/제1종일반주거지역
5149,대한상사,박○○,해당없음,"부산광역시 사상구 낙동대로1348번길 45 (삼락동, 대한상사)",051-304-0203,051-304-1466,미등록,미등록,2005-01-27,2005-01-27,781.05,1041.57,541.13,15220,신발 부분품 제조업,도시지역/공업지역/준공업지역
5150,대한상선(주),임○○,해당없음,부산광역시 강서구 녹산산단27로 33 (송정동),051-831-1406,051-831-1492,2015-11-02,미등록,2015-11-02,2026-01-23,0,999.1,129.55,25924,절삭가공 및 유사처리업,도시지역/공업지역/일반공업지역
5151,대한솔루션,김○○,해당없음,부산광역시 사상구 낙동대로1404번길 61 (삼락동),051-711-2030,051-711-2031,미등록,미등록,2024-01-11,2024-09-09,0,27,3,"31114, 31113",선박 구성 부분품 제조업 외 1종,도시지역/공업지역/준공업지역
5152,대한열력공업(주),이○○,해당없음,부산광역시 사상구 장인로17번길 13 (감전동),051-328-7556,051-328-1384,2003-12-02,미등록,2003-12-02,2016-03-03,978.8,480,306.43,29177,"증류기, 열교환기 및 가스발생기 제조업",도시지역/공업지역/전용공업지역
5153,대한우드(주),한○○,해당없음,부산광역시 강서구 가리새2로 12 (생곡동),055-339-5651,미등록,2011-10-27,2011-10-27,2016-10-07,2023-07-06,3322,244.2,48,31114,선박 구성 부분품 제조업,도시지역/공업지역/일반공업지역
5154,대한전기,남○○,해당없음,부산광역시 강서구 공작길 8-20 (강동동),051-302-2580,미등록,미등록,미등록,2011-04-04,2011-04-04,760,420,0,"26299, 26294",그 외 기타 전자부품 제조업 외 1종,도시지역/주거지역/제1종일반주거지역
5155,대한정밀,김○○,해당없음,부산광역시 사하구 감천항로 369-1 (구평동),051-417-1033,051-417-1040,2018-09-18,미등록,2019-06-18,2019-06-18,727,465.45,531.3,31114,선박 구성 부분품 제조업,도시지역/공업지역/일반공업지역
5156,대한정수,채○○,해당없음,"부산광역시 금정구 금샘로 557, 1층(남산동, 동림빌딩)",051-518-4354,051-518-4357,미등록,미등록,2023-11-21,2023-11-21,136.2,100,36.2,29176,액체 여과기 제조업,도시지역/주거지역/제2종일반주거지역
5157,대한제강(주),이○○,해당없음,부산광역시 사하구 하신번영로 69 (신평동) (총 5 필지),051-220-3300,051-220-3398,1993-09-06,미등록,1991-06-19,2023-06-26,59451,10529.42,24313.74,24121,열간 압연 및 압출 제품 제조업,도시지역/공업지역/전용공업지역
5158,대한제강(주),이○○,해당없음,부산광역시 강서구 녹산산업북로 333 (송정동) (총 4 필지),051-330-2424,051-330-9299,1997-07-28,미등록,2002-03-29,2025-06-24,70290.7,34343.22,8791.69,"24112, 24111, 24121",제강업 외 2종,도시지역/공업지역/일반공업지역
5159,대한제분주식회사,이○○,해당없음,"부산광역시 동구 충장대로 301 (좌천동, 대한제분주식회사)",051-630-8110,051-636-1352,1963-03-01,미등록,1963-03-01,2026-04-14,5289.3,4037.98,4169.44,10512,곡물 제분업,도시지역/공업지역/준공업지역
5160,대한중기공업(주),정○○,해당없음,부산광역시 강서구 녹산산단382로 13-11 (송정동),051-831-6926,051-831-6929,2008-07-04,미등록,2009-07-01,2026-01-08,6601.5,4729.52,704,"29111, 29119, 31202",내연기관 제조업 외 2종,도시지역/공업지역/일반공업지역
5161,대한진공성형 주식회사,황○○,해당없음,부산광역시 강서구 식만로179번가길 45(식만동),051-941-7029,051-941-7031,미등록,미등록,2021-09-15,2021-09-15,789,393.25,0,22232,포장용 플라스틱 성형용기 제조업,도시지역/주거지역/제1종일반주거지역
5162,대한철강,권○○,해당없음,"부산광역시 사상구 학장로 49 (학장동, 대한철강(주))",051-312-5550,051-312-5595,1996-02-09,미등록,1996-02-09,1996-02-09,764.4,361.8,78.12,24191,"도금, 착색 및 기타 표면처리강재 제조업",도시지역/공업지역/전용공업지역
5163,대한철강(주),권○○,해당없음,부산광역시 사상구 학장로 51 (학장동),051-312-5550,051-312-5595,2008-02-01,미등록,2008-02-01,2008-02-01,674.4,337.68,0,24191,"도금, 착색 및 기타 표면처리강재 제조업",도시지역/공업지역/전용공업지역
5164,대한철강상사,권○○,해당없음,"부산광역시 사상구 학감대로221번길 58 (감전동, 태인정공)",051-316-9208,051-317-9877,미등록,미등록,2009-09-30,2009-09-30,33,20,13,24199,그 외 기타 1차 철강 제조업,도시지역/공업지역/준공업지역
5165,대한추리닝,김○○,해당없음,부산광역시 사상구 사상로469번길 36 (모라동) 퀸커피숍,051-302-5486,051-302-5487,미등록,미등록,2020-06-22,2020-06-22,0,324.9,0,14192,"근무복, 작업복 및 유사의복 제조업",도시지역/주거지역/제2종일반주거지역
5166,대한카본(주),한○○○○○○,해당없음,부산광역시 사하구 다산로 247 (장림동),051-264-8961,051-264-8966,1998-01-01,미등록,1993-07-22,2018-08-21,5013.5,2908.75,1594.1,25922,도금업,도시지역/공업지역/전용공업지역
5167,대한테크,문○○,해당없음,"부산광역시 사상구 모덕로108번길 56 (덕포동, 대한테크)",051-301-8563,051-305-8564,미등록,미등록,2004-12-15,2004-12-15,200,117.2,40,29293,주형 및 금형 제조업,도시지역/공업지역/준공업지역
5168,대한톱(A-one),박○○,해당없음,부산광역시 강서구 대저중앙로348번길 8-13 (대저1동),051-301-3753,051-302-9571,미등록,미등록,2015-03-04,2015-03-04,552,294,24,25934,톱 및 호환성 공구 제조업,도시지역/주거지역/제1종일반주거지역
5169,대한특수용접엔지니어링,김○○,해당없음,부산광역시 강서구 대저중앙로347번길 28 (대저1동),051-305-5990,051-305-5998,미등록,미등록,2015-12-14,2024-12-27,467,279.13,29.38,"31114, 29199",선박 구성 부분품 제조업 외 1종,도시지역/주거지역/제1종일반주거지역
5170,대한특수인물,김○○,해당없음,부산광역시 강서구 경전철로 231-1 (대저2동),051-301-1232,051-323-0687,미등록,미등록,2013-10-16,2013-10-16,519,254,0,25924,절삭가공 및 유사처리업,도시지역/주거지역/제1종일반주거지역
